# src/jamBashbulk.cpp (unix) 
# commit 85670c21403a4f54092b9da783e3a906d5e2f869 (2016-08-01 17:09:16 +0200)
# RAND_MAX = 2147483647
# srand(0); rand() = 1804289383
step#	N	P0	P	alpha	delta	L	phi	Z	#rattler	s_xx	s_yy	s_xy	U	dU	H	dH	t_run	#FIRE	#CG	gg creation-date ccnum
11	16	1.0000000000000010545e-03	9.8936181171351510671e-04	7.2041856346182263451e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0127319557880531271e-03	-9.6599166763897708665e-04	6.4730394868464314639e-05	1.1109212950086242549e-04	4.9630836753181660492e-22	9.1396446158614569703e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.0489023079318806342e-19	2016-08-01_17-16-09 0
12	16	1.0000000000000010545e-03	9.8935833939137350639e-04	7.1828307790937009213e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0122377010271299261e-03	-9.6647897775561708657e-04	6.3384381782743324925e-05	1.1096688732176180409e-04	2.9910850949917480723e-21	9.1396320916435469080e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	6.9626108264303487871e-19	2016-08-01_17-16-09 0
13	16	1.0000000000000010545e-03	9.8916254729366640697e-04	7.1934121716097921628e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0124567590866646412e-03	-9.6586833550066817293e-04	6.4536011797217354957e-05	1.1102857130606255765e-04	3.6263598054324733266e-21	9.1396382600419769836e-02	6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	9.2511879707930615158e-19	2016-08-01_17-16-09 0
14	16	1.0000000000000010545e-03	9.8921321852619095080e-04	7.1987746778717396349e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125874079968777723e-03	-9.6583902905550412943e-04	6.4751856445066963898e-05	1.1106020132258294431e-04	-7.2791893904666435389e-23	9.1396414230436290221e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.8429956959827872021e-19	2016-08-01_17-16-09 0
15	16	1.0000000000000010545e-03	9.8913939421010846192e-04	7.1960873956361912635e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125155857271352903e-03	-9.6576320269308163326e-04	6.4762510238960792148e-05	1.1104434066980908492e-04	-6.8225856923373722623e-21	9.1396398369783516367e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.7778800381626128635e-19	2016-08-01_17-16-09 0
16	16	1.0000000000000010545e-03	9.8913781804458133325e-04	7.1947482797342299756e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0124844116562544663e-03	-9.6579122443290820038e-04	6.4681430429492218930e-05	1.1103643909268166399e-04	3.9704669402545328394e-22	9.1396390468206388944e-02	6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	1.2169745869676160122e-18	2016-08-01_17-16-09 0
17	16	1.0000000000000010545e-03	9.8912543199059585129e-04	7.1954174612901924506e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0124982606185212884e-03	-9.6575260336267041395e-04	6.4754262693428851249e-05	1.1104038628097669055e-04	2.0050858048285390839e-21	9.1396394415394683965e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.6465899313381963109e-19	2016-08-01_17-16-09 0
18	16	1.0000000000000010545e-03	9.8913018821712358899e-04	7.1957523343115318379e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125066290295057333e-03	-9.6575374740474144489e-04	6.4763838373002410794e-05	1.1104236291589685829e-04	1.3830459841886622724e-21	9.1396396392029604134e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.8149377296049885033e-19	2016-08-01_17-16-09 0
19	16	1.0000000000000010545e-03	9.8912558705495213585e-04	7.1955848742695626477e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125021524352150515e-03	-9.6574902167468922019e-04	6.4764502141436767692e-05	1.1104137444058804805e-04	2.4616895029578103604e-21	9.1396395403554295326e-02	6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	8.6905580388291214788e-19	2016-08-01_17-16-09 0
20	16	1.0000000000000010545e-03	9.8912388272810395450e-04	7.1955011618978794104e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0124999928029843444e-03	-9.6574777265322356490e-04	6.4763372496377163690e-05	1.1104088030417798876e-04	1.8396496823179335489e-21	9.1396394909417885267e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.1972654225993916779e-19	2016-08-01_17-16-09 0
21	16	1.0000000000000010545e-03	9.8912443695543292475e-04	7.1955430166131181611e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125010334693580994e-03	-9.6574784044150774974e-04	6.4764668052453228173e-05	1.1104112736358736077e-04	-3.4212190135193224633e-21	9.1396395156477294642e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.5290075632024454633e-19	2016-08-01_17-16-09 0
22	16	1.0000000000000010545e-03	9.8912386193432364060e-04	7.1955220888878609861e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125004740138340238e-03	-9.6574724985481325759e-04	6.4764751003298315677e-05	1.1104100383136025613e-04	7.6100616354878546088e-22	9.1396395032945067531e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.7540006898168689908e-19	2016-08-01_17-16-09 0
23	16	1.0000000000000010545e-03	9.8912368905457065934e-04	7.1955116253009623629e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0125002093426767259e-03	-9.6574716876646459272e-04	6.4764511311939966849e-05	1.1104094206684688563e-04	-1.8197973476166608847e-21	9.1396394971180554159e-02	-6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	4.7529136252806927776e-19	2016-08-01_17-16-09 0
24	16	1.0000000000000010545e-03	9.8912371818203062120e-04	7.1955168570714345137e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125003341528075359e-03	-9.6574710221125370632e-04	6.4764771740523816430e-05	1.1104097294895691482e-04	-4.1226681729642899316e-21	9.1396395002062664193e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	8.4539182091899513216e-19	2016-08-01_17-16-09 0
25	16	1.0000000000000010545e-03	9.8912364630633175554e-04	7.1955142411804541734e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0125002642227224660e-03	-9.6574702838994104490e-04	6.4764782109063731513e-05	1.1104095750785326153e-04	-1.4823076576950255934e-21	9.1396394986621560536e-02	-6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	8.3305690362460438347e-19	2016-08-01_17-16-09 0
26	16	1.0000000000000010545e-03	9.8912366484513336477e-04	7.1955129332392722051e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0125002364103982542e-03	-9.6574709327986847537e-04	6.4764653665294670835e-05	1.1104094978733315366e-04	2.3822801641527197036e-22	9.1396394978901040431e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	9.7032918063900443217e-19	2016-08-01_17-16-09 0
27	16	1.0000000000000010545e-03	9.8912365274039420785e-04	7.1955135872095041731e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0125002499442806213e-03	-9.6574705553650779422e-04	6.4764724842089463288e-05	1.1104095364758900654e-04	-1.4823076576950255934e-21	9.1396394982761296282e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.7725295355380568108e-19	2016-08-01_17-16-09 0
28	16	1.0000000000000010545e-03	9.8912364668801952883e-04	7.1955139141948894191e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0125002567112272514e-03	-9.6574703666481180641e-04	6.4764760430516241800e-05	1.1104095557772011511e-04	2.0117032497289633053e-21	9.1396394984691427393e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	3.9725845226226685902e-19	2016-08-01_17-16-09 0
29	16	1.0000000000000010545e-03	9.9164605631290203176e-04	7.2877062603158662212e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0149513526897145000e-03	-9.6834075993608956346e-04	6.4397485495871761776e-05	1.1158360889369509237e-04	-5.2939559203393771192e-23	9.1396937638007402370e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	1.0143219543370246560e-18	2016-08-01_17-16-09 1
30	16	1.0000000000000010545e-03	9.9453222268506198788e-04	7.3941679431455858586e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0177483118533942972e-03	-9.7131613351672967866e-04	6.3968703476385904938e-05	1.1220639166146479796e-04	2.0381730293306601909e-21	9.1397560420775172076e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.0467847255637448833e-19	2016-08-01_17-16-09 1
31	16	1.0000000000000010545e-03	9.9782951851276770807e-04	7.5171079765370691218e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0209334674001646796e-03	-9.7472556962537073678e-04	6.3467454215416748315e-05	1.1292036091771558727e-04	2.4352197233561134748e-21	9.1398274390031422862e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.8529976655272153430e-19	2016-08-01_17-16-09 1
32	16	1.0000000000000010545e-03	1.0015896527262194294e-03	7.6590769122946744331e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0245519421178690901e-03	-9.7862736333456976846e-04	6.2880611212336382934e-05	1.1373780231884133498e-04	-9.3305973095981521725e-22	9.1399091831432548611e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	1.3514410673442361910e-18	2016-08-01_17-16-09 1
33	16	1.0000000000000010545e-03	1.0058683325651598313e-03	7.8230200816930920927e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0286508291536561974e-03	-9.8308583597666346506e-04	6.2192446696942416903e-05	1.1467224650631331944e-04	1.0654086289682996452e-21	9.1400026275620020593e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.9155228920914366686e-19	2016-08-01_17-16-09 1
34	16	1.0000000000000010545e-03	1.0107245330077485840e-03	8.0123387002272768941e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0332778137894924001e-03	-9.8817125222600476811e-04	6.1384075666335358458e-05	1.1573841936463631599e-04	1.1249656330721176378e-21	9.1401092448478343592e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.9430514628772014296e-19	2016-08-01_17-16-09 1
35	16	1.0000000000000010545e-03	1.0162191967333590758e-03	8.2309604302768492752e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0384790158519737634e-03	-9.9395937761474438827e-04	6.0432782623986272066e-05	1.1695209248720160410e-04	-3.0771118786972629505e-21	9.1402306121600908884e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	6.6095039665437123333e-19	2016-08-01_17-16-09 1
36	16	1.0000000000000010545e-03	1.0224131216424179313e-03	8.4834208655997374429e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0442957418136105688e-03	-1.0005305014712252944e-03	5.9311213260735346772e-05	1.1832978274066985250e-04	-1.3301064249852685012e-21	9.1403683811854377129e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	1.0782729418547243316e-18	2016-08-01_17-16-09 1
37	16	1.0000000000000010545e-03	1.0293718074552987156e-03	8.7749576281574668534e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0503457263603505238e-03	-1.0083978885502469074e-03	5.8377854886415511622e-05	1.1988904919880852268e-04	1.7536228986124186707e-21	9.1405243078312515801e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	6.3244244402334368754e-19	2016-08-01_17-16-09 1
38	16	1.0000000000000010545e-03	1.0257904953997277967e-03	8.6239470694334655198e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0474453864665153473e-03	-1.0041356043329402462e-03	5.8676525785623914175e-05	1.1908537675832759121e-04	2.7263872989747792164e-21	9.1404439405872034866e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.5422989997075105817e-19	2016-08-01_17-16-09 1
39	16	1.0000000000000010545e-03	1.0275522355385480478e-03	8.6980942348924083822e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0490818507632663301e-03	-1.0060226203138297653e-03	5.8338711232848422325e-05	1.1948076890459665326e-04	-1.1315830779725418592e-21	9.1404834798018303928e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	9.5296500522029127522e-19	2016-08-01_17-16-09 1
40	16	1.0000000000000010545e-03	1.0284528787811337369e-03	8.7361802679878883098e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0498502685027426521e-03	-1.0070554890595248217e-03	5.8226055087873290316e-05	1.1968299500318615897e-04	-2.1175823681357508477e-22	9.1405037024116893434e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	1.1662055496915613856e-18	2016-08-01_17-16-09 1
41	16	1.0000000000000010545e-03	1.0280004118941296361e-03	8.7170516110682359516e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0494974304322509780e-03	-1.0065033933560082944e-03	5.8252020402059095769e-05	1.1958149271914055851e-04	-5.2277814713351349052e-22	9.1404935521832847836e-02	0.0000000000000000000e+00	1.0000000000000000000e+00	2000	0	8.8705525401206603009e-19	2016-08-01_17-16-10 1
42	16	1.0000000000000010545e-03	1.0282256692099206272e-03	8.7265944330407393501e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497061917589463429e-03	-1.0067451466608949115e-03	5.8208332493859109559e-05	1.1963213867502845077e-04	1.6543612251060553497e-22	9.1404986167788735731e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	9.2136008837586519382e-19	2016-08-01_17-16-10 1
43	16	1.0000000000000010545e-03	1.0283389822074854165e-03	8.7313819617957218044e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497887237710019300e-03	-1.0068892406439689032e-03	5.8207240047296076756e-05	1.1965753520369759091e-04	2.1506695926378719547e-21	9.1405011564317404870e-02	6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	6.7656756661937239583e-19	2016-08-01_17-16-10 1
44	16	1.0000000000000010545e-03	1.0282821143638714335e-03	8.7289868517528030532e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497579837482976648e-03	-1.0068062449794452019e-03	5.8197845793600209882e-05	1.1964482983546134772e-04	1.4823076576950255934e-21	9.1404998858949168625e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	8.9859607791840587221e-19	2016-08-01_17-16-10 1
45	16	1.0000000000000010545e-03	1.0282538812809722947e-03	8.7277903061695057275e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497323324850585425e-03	-1.0067754300768860470e-03	5.8202855357432396356e-05	1.1963848276972284108e-04	1.2837843106822989514e-21	9.1404992511883430118e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.1913097221890098787e-19	2016-08-01_17-16-10 1
46	16	1.0000000000000010545e-03	1.0282679918952917585e-03	8.7283884948807099004e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497454066454461086e-03	-1.0067905771451374085e-03	5.8200115440584507873e-05	1.1964165593070657899e-04	1.0323214044661785382e-21	9.1404995685044413853e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	4.8098236514243410816e-19	2016-08-01_17-16-10 1
47	16	1.0000000000000010545e-03	1.0282750483472988798e-03	8.7286876522936911124e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497519446750015290e-03	-1.0067981520195962306e-03	5.8198745144864665476e-05	1.1964324278965906907e-04	-1.7470054537119944493e-21	9.1404997271903366348e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	9.8827569120895492061e-19	2016-08-01_17-16-10 1
48	16	1.0000000000000010545e-03	1.0282785768595329485e-03	8.7288372467671114161e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497552139271232559e-03	-1.0068019397919426414e-03	5.8198059912663585174e-05	1.1964403628875690906e-04	3.1101991031993840575e-22	9.1404998065402464190e-02	6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	4.9588485105818945475e-19	2016-08-01_17-16-10 1
49	16	1.0000000000000010545e-03	1.0282803411872099415e-03	8.7289120479458771495e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497568486125205987e-03	-1.0068038337618992844e-03	5.8197717275475630514e-05	1.1964443305571203284e-04	-9.9261673506363320985e-23	9.1404998462169419310e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	9.2091010212263634677e-19	2016-08-01_17-16-10 1
50	16	1.0000000000000010545e-03	1.0282812262290427274e-03	8.7289494495208143083e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497575036065694480e-03	-1.0068049488515160067e-03	5.8197699078511274457e-05	1.1964463144366690746e-04	2.5013941723603556888e-21	9.1404998660557374185e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.5258877363544585126e-19	2016-08-01_17-16-10 1
51	16	1.0000000000000010545e-03	1.0282807822765834676e-03	8.7289307486512150019e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0497572572900508407e-03	-1.0068043072631160943e-03	5.8197631613981896627e-05	1.1964453224926399616e-04	-2.6866826295722338880e-21	9.1404998561362971276e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	8.6695145640457724548e-19	2016-08-01_17-16-10 1
52	16	1.0000000000000010545e-03	1.0282810041973794348e-03	8.7289400990654818836e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497573835719601769e-03	-1.0068046248227986927e-03	5.8197662400076100942e-05	1.1964458184634100295e-04	-1.3962808739895107152e-21	9.1404998610960048284e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.0080823006410507547e-19	2016-08-01_17-16-10 1
53	16	1.0000000000000010545e-03	1.0282808931818543943e-03	8.7289354238532152609e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497573235547789916e-03	-1.0068044628089297969e-03	5.8197644060909081129e-05	1.1964455704777146013e-04	5.3601303693436193332e-22	9.1404998586161478735e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	8.3475096951911298415e-19	2016-08-01_17-16-10 1
54	16	1.0000000000000010545e-03	1.0282808376741685083e-03	8.7289330862509318380e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497572935462192248e-03	-1.0068043818021177917e-03	5.8197634891338189468e-05	1.1964454464851004042e-04	4.2748694056740470237e-21	9.1404998573762217314e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	9.3480673641352721170e-19	2016-08-01_17-16-10 1
55	16	1.0000000000000010545e-03	1.0282808099203446917e-03	8.7289319174507525961e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0497572785419470324e-03	-1.0068043412987423510e-03	5.8197630306555931603e-05	1.1964453844888516231e-04	-2.7065349642735065522e-21	9.1404998567562592442e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	8.5402096906914831687e-19	2016-08-01_17-16-10 1
56	16	1.0000000000000010545e-03	1.0360079296651790614e-03	9.0584693678771786249e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0538646337390232029e-03	-1.0181512255913349201e-03	5.9474142377096410994e-05	1.2141174234799089100e-04	-4.3344264097778650163e-21	9.1406765771461698170e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	8.2962906716618463679e-19	2016-08-01_17-16-10 2
